vendor_name,partner_detail_id,thea_id,po_fill_rate_qty_level,po_fill_rate_ucode_level,on_time_delivery_rate,median_lead_time,perfect_order_rate,expired_near_expiry_items_received,damaged_items_received,pr_count
ZYDUS HEALTHCARE LIMITED,30369,th410,40.78,71.66,100.00,5.00,14.29,0.00,0.00,1.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th410,33.63,27.87,82.87,9.00,3.85,27640.00,0.00,2712.00
Abbott Healthcare Private Limited,2140,th410,33.19,60.87,100.00,9.00,0.00,0.00,0.00,0.00
AJANTA PHARMA LIMITED,1712,th410,27.85,31.76,0.00,7.00,0.00,86397.00,0.00,125.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th410,26.28,16.67,100.00,1.00,33.33,74318.00,0.00,23.00
RATHNA AGENCIES,90476,th410,19.71,37.11,0.00,7.00,0.00,79395.00,0.00,170.00
USV PRIVATE LIMITED,1716,th410,12.52,41.67,100.00,9.00,0.00,250402.00,0.00,377.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th410,5.66,16.92,100.00,6.00,33.33,2403.00,0.00,1.00
RE'EQUIL INDIA PRIVATE LIMITED,32297,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MILFORD HEALTHCARE,9354,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CLENSTA INTERNATIONAL PRIVATE LIMITED,37518,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00
MILTON GENERICS,5658,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A. MENARINI INDIA PRIVATE LIMITED,82472,th410,0.00,0.00,0.00,0.00,0.00,2632.00,0.00,18.00
SANJEEV MEDICAL STORE,36475,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MSD PHARMACEUTICALS PRIVATE LIMITED,39531,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MPC PHARMA PRIVATE LIMITED,90539,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEDI SALES INDIA PVT LTD,91741,th410,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASTRAZENECA PHARMA INDIA LIMITED,2400,th410,0.00,0.00,0.00,0.00,0.00,61.00,0.00,6.00
SUN PHARMA DISTRIBUTORS LTD,39386,th410,0.00,0.00,0.00,0.00,0.00,90.00,0.00,944.00
SRUTIS,29972,th410,0.00,0.00,0.00,0.00,0.00,100.00,0.00,5.00
AKSHAYA  PHARMA,90473,th410,0.00,0.00,0.00,0.00,0.00,104.00,0.00,32.00
SRI RAM PHARMA,90486,th410,0.00,0.00,0.00,0.00,0.00,111.00,0.00,1.00
LOHIYA RETAILS,90525,th410,0.00,0.00,0.00,0.00,0.00,122.00,0.00,0.00
JUGGAT PHARMA,90445,th410,0.00,0.00,0.00,0.00,0.00,220.00,0.00,1.00
Upakarma Ayurveda Private Limited,11345,th410,0.00,0.00,0.00,0.00,0.00,383.00,0.00,2.00
DOLLAR COMPANY P LTD,90533,th410,0.00,0.00,0.00,0.00,0.00,400.00,0.00,6.00
GLAXOSMITHKLINE ASIA PRIVATE LIMITED [AMBALA],31308,th410,0.00,0.00,0.00,0.00,0.00,504.00,0.00,0.00
JOMED HEALTH CARE,90499,th410,0.00,0.00,0.00,0.00,0.00,540.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,90441,th410,0.00,0.00,0.00,0.00,0.00,600.00,0.00,2.00
ZIRI TRADELINK PRIVATE LIMITED,45391,th410,0.00,0.00,0.00,0.00,0.00,746.00,0.00,8.00
MYLAN PHARMACEUTICALS PRIVATE LIMITED,12110,th410,0.00,0.00,0.00,0.00,0.00,790.00,0.00,21.00
ACTIVE HEALTH CARE,90490,th410,0.00,0.00,0.00,0.00,0.00,820.00,0.00,14.00
PUNAMIYA EXIM PRIVATE LIMITED,56895,th410,0.00,0.00,0.00,0.00,0.00,960.00,0.00,0.00
VELAN ENTERPRISES,90487,th410,0.00,0.00,0.00,0.00,0.00,1251.00,0.00,0.00
ELBRIT LIFE SCIENCES PVT LTD,38207,th410,0.00,0.00,0.00,0.00,0.00,1490.00,0.00,52.00
DR MONI PHARMACEUTICALS,82473,th410,0.00,0.00,0.00,0.00,0.00,1910.00,0.00,7.00
ALCON LABORATORIES INDIA PVT LTD,90453,th410,0.00,0.00,0.00,0.00,0.00,1930.00,0.00,5.00
AVIS HEALTHCARE PRIVATE LIMIITED,90478,th410,0.00,0.00,0.00,0.00,0.00,2032.00,0.00,6.00
VIKRAM CORPORATION,90454,th410,0.00,0.00,0.00,0.00,0.00,2844.00,0.00,4.00
JOHNSON & JOHNSON PRIVATE LTD,90444,th410,0.00,0.00,0.00,0.00,0.00,4070.00,0.00,42.00
PHARMED LIMITED[CHENNAI],90447,th410,0.00,0.00,0.00,0.00,0.00,4093.00,0.00,43.00
STEDMAN PHARMACEUTICALS PRIVATE LIMITED,90448,th410,0.00,0.00,0.00,0.00,0.00,4470.00,0.00,27.00
NOVARTIS INDIA LIMITED-CHENNAII,90535,th410,0.00,0.00,0.00,0.00,0.00,4504.00,0.00,26.00
RPG LIFE SCIENCES LTD,90455,th410,0.00,0.00,0.00,0.00,0.00,4870.00,0.00,62.00
ARYAN Wellness (P) Ltd.,1144,th410,0.00,0.00,0.00,0.00,0.00,5302.00,0.00,2.00
SARASH EXPORT,90483,th410,0.00,0.00,0.00,0.00,0.00,5358.00,0.00,23.00
SRI RATHNA SPECIALITIES,90497,th410,0.00,0.00,0.00,0.00,0.00,5404.00,0.00,43.00
KARRY FORWARD,90482,th410,0.00,0.00,0.00,0.00,0.00,5816.00,0.00,3.00
DARSHAN MARKETING,90514,th410,0.00,0.00,0.00,0.00,0.00,5984.00,0.00,0.00
KALINGA PHARMATECH(A Unit of Ascent Wellness & Pharma Solutions Private Limited),11933,th410,0.00,0.00,0.00,0.00,0.00,6096.00,0.00,1.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th410,0.00,0.00,0.00,0.00,0.00,7166.00,0.00,68.00
HIMALAYA WELLNESS COMPANY,31056,th410,0.00,0.00,0.00,0.00,0.00,7214.00,0.00,44.00
BIOCON BIOLOGICS INDIA LIMITED,2587,th410,0.00,0.00,0.00,0.00,0.00,9261.00,0.00,57.00
WOCKHARDT LTD,10379,th410,0.00,0.00,0.00,0.00,0.00,9686.00,0.00,38.00
SRI YOGIRAAM ASSOCIATES,90513,th410,0.00,0.00,0.00,0.00,0.00,10436.00,0.00,6.00
UNIVERSAL NUTRISCIENCE PRIVATE LIMITED,29744,th410,0.00,0.00,0.00,0.00,0.00,10437.00,0.00,23.00
BAYER ZYDUS PHARMA PVT. LTD,1717,th410,0.00,0.00,0.00,0.00,0.00,11468.00,0.00,24.00
BHARATH DISTRIBUTORS,90488,th410,0.00,0.00,0.00,0.00,0.00,11476.00,0.00,0.00
PAREKH INTEGRATED SERVICES PRIVATE LIMITED,90561,th410,0.00,0.00,0.00,0.00,0.00,12203.00,0.00,43.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th410,0.00,0.00,0.00,0.00,0.00,12896.00,0.00,2.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th410,0.00,0.00,0.00,0.00,0.00,13817.00,0.00,1.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th410,0.00,0.00,0.00,0.00,0.00,14770.00,0.00,5.00
RAPTAKOS BRETT & CO. LTD.,38190,th410,0.00,0.00,0.00,0.00,0.00,15373.00,0.00,20.00
SAMPURNAM DISTRIBUTORS,90492,th410,0.00,0.00,0.00,0.00,0.00,18072.00,0.00,12.00
SRI ANNAI MEENAKSHI AGENCIES,90498,th410,0.00,0.00,0.00,0.00,0.00,18414.00,0.00,44.00
CIPLA HEALTH LTD,90463,th410,0.00,0.00,0.00,0.00,0.00,18590.00,0.00,3.00
TABLETS (INDIA) LIMITED,90449,th410,0.00,0.00,0.00,0.00,0.00,19473.00,0.00,47.00
EMCURE PHARMACEUTICALS LIMITED,31402,th410,0.00,0.00,0.00,0.00,0.00,19706.00,0.00,79.00
NUTRICIA INTERNATIONAL PVT. LTD.,38206,th410,0.00,0.00,0.00,0.00,0.00,20220.00,0.00,28.00
WANBURY LTD.,7732,th410,0.00,0.00,0.00,0.00,0.00,20700.00,0.00,6.00
ASN DISTRIBUTORS,90517,th410,0.00,0.00,0.00,0.00,0.00,23409.00,0.00,16.00
Piramal Pharma Limited,30176,th410,0.00,0.00,0.00,0.00,0.00,26560.00,0.00,42.00
ALEMBIC PHARMACEUTICALS LIMITED,90558,th410,0.00,0.00,0.00,0.00,0.00,28648.00,0.00,55.00
WIN MEDICARE PRIVATE LIMITED,2366,th410,0.00,0.00,0.00,0.00,0.00,31018.00,0.00,24.00
TREE TOP HEALTH CARE PRIVATE LIMITED,38171,th410,0.00,0.00,0.00,0.00,0.00,37707.00,0.00,46.00
GALAXY PHARMA,39516,th410,0.00,0.00,0.00,0.00,0.00,37988.00,0.00,97.00
INDOCO REMEDIES LIMITED,45395,th410,0.00,0.00,0.00,0.00,0.00,40435.00,0.00,114.00
MERCK SPECIALITIES PRIVATE LIMITED,2654,th410,0.00,0.00,0.00,0.00,0.00,41985.00,0.00,34.00
CADILA PHARMACEUTICALS LTD,31391,th410,0.00,0.00,0.00,0.00,0.00,43881.00,0.00,47.00
BOEHRINGER INGELHEIM INDIA PRIVATE LIMITED,30185,th410,0.00,0.00,0.00,0.00,0.00,45582.00,0.00,23.00
EAST WEST PHARMA INDIA PRIVATE LIMITED,38160,th410,0.00,0.00,0.00,0.00,0.00,47400.00,0.00,83.00
JAYALAKSHMI AGENCY,78474,th410,0.00,0.00,0.00,0.00,0.00,52059.00,0.00,148.00
OZONE PHARMACEUTICALS LTD,90446,th410,0.00,0.00,0.00,0.00,0.00,57723.00,0.00,56.00
BLUE CROSS LABS LIMITED,90440,th410,0.00,0.00,0.00,0.00,0.00,59088.00,0.00,47.00
FRANCO INDIAN PHARMACEUTICALS PVT LTD CHENNAI,90442,th410,0.00,0.00,0.00,0.00,0.00,63831.00,0.00,132.00
VARMA MEDICALS (PUDUCHERRY),30682,th410,0.00,0.00,0.00,0.00,0.00,69618.00,0.00,2434.00
LINUX  LABORATORIES PRIVATE LIMITED,9078,th410,0.00,0.00,0.00,0.00,0.00,70297.00,0.00,85.00
Sri Balajhi Logistics Pharma LLP,31624,th410,0.00,0.00,0.00,0.00,0.00,73491.00,0.00,64.00
 ERIS LIFE SCIENCES LTD,38173,th410,0.00,0.00,0.00,0.00,0.00,76188.00,0.00,316.00
SANOFI INDIA,38205,th410,0.00,0.00,0.00,0.00,0.00,82940.00,0.00,100.00
SKN ORGANICS PVT LTD,90470,th410,0.00,0.00,0.00,0.00,0.00,88119.00,0.00,44.00
ALKEM LABORATORIES LIMITED,38166,th410,0.00,0.00,0.00,0.00,0.00,88952.00,0.00,119.00
RATHNA PHARMA DISTRIBUTORS,38168,th410,0.00,0.00,0.00,0.00,0.00,99103.00,0.00,147.00
SHUBHAM AGENCIES,30147,th410,0.00,0.00,0.00,0.00,0.00,100433.00,0.00,336.00
PFIZER LIMITED,9917,th410,0.00,0.00,0.00,0.00,0.00,123800.00,0.00,41.00
IPCA LABORATORIES LIMITED,45343,th410,0.00,0.00,0.00,0.00,0.00,123862.00,0.00,134.00
DR.REDDYS LABS LTD.,45344,th410,0.00,0.00,0.00,0.00,0.00,157421.00,0.00,289.00
ARISTO PHARMACEUTICAL PRIVATE LIMITED,38225,th410,0.00,0.00,0.00,0.00,0.00,158431.00,0.00,130.00
ABBOTT INDIA LIMITED,2181,th410,0.00,0.00,0.00,0.00,0.00,165832.00,0.00,185.00
MANKIND PHARMA LIMITED,90559,th410,0.00,0.00,0.00,0.00,0.00,166091.00,0.00,7.00
Abbott Healthcare Private Limited,2056,th410,0.00,0.00,0.00,0.00,0.00,168324.00,0.00,181.00
SHIV SANKARA HEALTH CARE ENTERPRISES,1220,th410,0.00,0.00,0.00,0.00,0.00,171464.00,0.00,198.00
ZYDUS HEALTHCARE LIMITED,29743,th410,0.00,0.00,0.00,0.00,0.00,234766.00,0.00,387.00
LUPIN LTD,39515,th410,0.00,0.00,0.00,0.00,0.00,381718.00,0.00,392.00
GLAXOSMITHKLINE PHARMACEUTICALS LTD,45525,th410,0.00,0.00,0.00,0.00,0.00,397706.00,0.00,153.00
CIPLA LIMITED,45346,th410,0.00,0.00,0.00,0.00,0.00,403902.00,0.00,484.00
MANKIND PHARMA LTD,3861,th410,0.00,0.00,0.00,0.00,0.00,602359.00,0.00,667.00
AUROBINDO PHARMA LIMITED,90450,th410,0.00,0.00,0.00,0.00,0.00,5180.00,0.00,15.00
PARASAKTHI AGENCIES,90466,th410,0.00,0.00,0.00,0.00,0.00,140.00,0.00,7.00
J.B. CHEMICAL & PHARMACEUTICALS LIMITED,39374,th410,0.00,0.00,0.00,0.00,0.00,94392.00,0.00,71.00
MEDICOS HEALTHCARE - A unit of D.C. Agencies Private Limited,7065,th414,100.00,100.00,0.00,2.00,0.00,12337.00,0.00,38.00
RX MEDIWORLD,56928,th414,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
VARMA MEDICALS (PUDUCHERRY),30682,th414,100.00,100.00,0.00,3.00,0.00,2479.00,0.00,5.00
SARDA ENTERPRISES,38145,th414,100.00,100.00,0.00,4.00,0.00,1352.00,0.00,4.00
KALINGA PHARMATECH(A Unit of Ascent Wellness & Pharma Solutions Private Limited),11933,th414,100.00,100.00,100.00,0.00,100.00,724.00,0.00,4.00
D C AGENCIES PRIVATE LIMITED,1989,th414,97.60,83.33,80.00,1.00,33.33,5170.00,0.00,2.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th414,89.35,53.33,77.78,4.00,0.00,16241.00,0.00,54.00
SACHDEVA MEDICALS,7825,th414,80.37,100.00,28.57,13.00,33.33,18952.00,0.00,73.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th414,73.50,92.59,92.00,1.00,0.00,13202.00,0.00,24.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th414,72.88,80.37,68.97,1.00,0.00,1973.00,0.00,30.00
EKDANTA PHARMATECH (U/O AHWSPL) (MR-SLI),30112,th414,64.40,71.43,27.27,4.00,25.00,2719.00,0.00,19.00
DR REDDYS LABORATORIES LIMITED,38098,th414,53.78,59.48,36.47,2.00,18.18,0.00,0.00,0.00
Avighna Medicare Private Limited,37111,th414,35.36,8.65,50.00,9.00,50.00,1192.00,0.00,58.00
RAAJYOG MEDICO,56925,th414,28.70,66.67,0.00,4.00,0.00,4080.00,0.00,2.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th414,23.81,29.68,46.00,9.00,7.69,996.00,0.00,90.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th414,19.62,28.61,51.06,3.00,0.00,231684.00,0.00,772.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th414,15.97,33.99,66.39,3.00,2.72,606395.00,0.00,3011.00
SRI ALAGU PHARMA (U/O AHWSPL),30509,th414,6.11,30.00,0.00,13.00,0.00,1566.00,0.00,1.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th414,0.00,0.00,0.00,0.00,0.00,1934.00,0.00,7.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9983,th414,0.00,0.00,0.00,0.00,0.00,10438.00,0.00,16.00
SACHDEVA MEDICALS - LUCKNOW (AWSPL),13826,th414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEDICOS HEALTHCARE - A UNIT OF D.C. AGENCIES PRIVATE LIMITED (AR-IXC-IA1),31163,th414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
D.C. AGENCIES - INDORE ( A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PRIVATE LIMITED ),8164,th414,0.00,0.00,0.00,8.00,0.00,13023.00,0.00,29.00
HASMUKH AGENCY,2027,th414,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL) (MR-NAG-AMR),37894,th418,100.00,100.00,100.00,1.00,100.00,0.00,0.00,0.00
BALAJI PHARMATECH - (U/O AHWSPL),30094,th418,100.00,100.00,100.00,0.00,100.00,20.00,0.00,0.00
VENKATESH MEDICO PRIVATE LIMITED,30495,th418,100.00,100.00,100.00,0.00,100.00,530.00,0.00,2.00
VARMA MEDICALS (PUDUCHERRY),30682,th418,100.00,100.00,100.00,0.00,100.00,1590.00,0.00,1.00
EKDANTA PHARMATECH (A UNIT OF A. W. P. S. PVT. LTD.),30095,th418,100.00,100.00,100.00,0.00,100.00,4331.00,0.00,2.00
MEDICOS HEALTHCARE - A unit of D.C. Agencies Private Limited,7065,th418,100.00,92.31,100.00,4.00,100.00,8761.00,0.00,19.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9983,th418,99.27,100.00,100.00,7.00,100.00,0.00,0.00,0.00
SRI ALAGU PHARMA (U/O AHWSPL),30509,th418,98.46,90.00,100.00,5.00,75.00,1188.00,0.00,0.00
SACHDEVA MEDICALS (U/O AHWSPL) (Prayagraj),30096,th418,93.37,87.50,100.00,0.00,100.00,3730.00,0.00,6.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th418,88.02,83.33,100.00,1.00,66.67,5218.00,0.00,4.00
EKDANTA PHARMATECH (U/O AHWSPL) (MR-SLI),30112,th418,87.56,90.91,100.00,1.00,71.43,3778.00,0.00,9.00
D.C. AGENCIES - INDORE ( A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PRIVATE LIMITED ),8164,th418,86.93,90.91,100.00,0.00,100.00,2310.00,0.00,2.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th418,85.87,80.61,100.00,1.00,63.64,2831.00,0.00,62.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th418,83.28,78.26,85.19,3.00,42.86,1370.00,0.00,9.00
D C AGENCIES PRIVATE LIMITED,1989,th418,79.62,60.00,100.00,5.00,40.00,2988.00,0.00,0.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th418,72.90,84.37,83.50,3.00,23.40,179323.00,0.00,324.00
SHEETAL PHARMA,56867,th418,70.38,68.75,60.87,7.00,20.00,0.00,0.00,6.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th418,64.05,81.43,81.14,3.00,13.40,399263.00,0.00,870.00
KIRTI AGENCIES,56866,th418,63.23,60.00,100.00,0.00,0.00,0.00,0.00,0.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th418,58.03,77.87,63.72,3.00,26.47,2514.00,0.00,169.00
SHIV PHARMA PRIVATE LIMITED,39534,th418,56.63,52.94,61.54,1.00,0.00,0.00,0.00,2.00
Avighna Medicare Private Limited,9250,th418,54.68,89.80,100.00,3.00,50.00,44152.00,0.00,349.00
PHARMACARE LOGISTICS PVT. LTD,38265,th418,51.76,64.29,100.00,0.00,50.00,0.00,0.00,0.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th418,50.00,100.00,100.00,6.00,50.00,200.00,0.00,0.00
RX MEDIWORLD,56928,th418,50.00,76.92,0.00,3.00,0.00,0.00,0.00,0.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th418,49.85,86.79,96.08,2.00,40.00,483.00,0.00,20.00
Avighna Medicare Private Limited,37111,th418,45.08,52.59,100.00,2.40,44.44,170.00,0.00,258.00
SACHDEVA MEDICALS,7825,th418,39.54,88.24,100.00,4.00,60.00,13721.00,0.00,15.00
Avighna Medicare Private Limited,82453,th418,37.84,54.84,100.00,5.00,44.44,0.00,0.00,0.00
CHHAJED PHARMACEUTICALS,56869,th418,34.62,77.27,40.00,2.00,0.00,0.00,0.00,0.00
ARYAN Wellness (P) Ltd.,1144,th418,25.26,57.14,100.00,6.00,20.00,8087.00,0.00,35.00
D C Agencies,104,th418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ASPIRE PHARMA- JAMMU (AWSPL),31301,th418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,38192,th418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,9288,th418,0.00,0.00,0.00,0.00,0.00,122215.00,0.00,12.00
SERVIER INDIA PRIVATE LIMITED,45441,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M/S DIABETES & HEALTH CARE SHOP,56892,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M/S J.B.CHEMICALS AND PHARMACEUTICALSLTD,45508,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M/S BHALLA DISTRIBUTORS (P) LTD.,45430,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AJANTA PHARMA LIMITED,7689,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M/S LUPIN LIMITED,53583,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G R ENTERPRISES,45438,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MANKIND PHARMA LIMITED,7930,th425,0.00,0.00,0.00,0.00,0.00,52.00,0.00,206.00
DR REDDYS LABORATORIES LTD,13468,th425,0.00,0.00,0.00,0.00,0.00,8405.00,0.00,45.00
ZYDUS HEALTHCARE LIMITED,29748,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
JAI MAA PHARMA,39465,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M/S HEALERS PHARMACEUTICALS,45557,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
M/S INTAS PHARMACEUTICAL LTD.,45440,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00
Abbott Healthcare Private Limited,7883,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
USV PRIVATE LIMITED,9577,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
CIPLA LTD,7260,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
ABBOTT INDIA LIMITED,8742,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
BHAGAT SINGH & SONS (CHEMISTS),60200,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
M/S MARC LABORATORIES LIMITED,53595,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
BOEHRINGER INGELHEIM INDIA PRIVATE LIMITED,30179,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DEFINER PHARMACEUTICALS PRIVATE LIMITED,45520,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FDC LIMITED,45435,th425,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Micropark Logistics Private Limited,56881,th430,100.00,92.31,100.00,0.00,100.00,0.00,0.00,0.00
SANDESH MEDICOS,60655,th430,100.00,75.00,100.00,0.00,0.00,56422.00,0.00,0.00
ENCUBE ETHICALS PRIVATE LIMITED,60665,th430,100.00,100.00,0.00,28.00,0.00,0.00,0.00,0.00
VPI MEDISALES - A UNIT OF ASCENT  WELLNESS AND PHARMA  SOLUTIONS PRIVATE LIMITED,31971,th430,95.24,75.00,100.00,1.00,0.00,199.00,0.00,0.00
Avighna Medicare Private Limited,9250,th430,89.90,87.96,76.50,4.00,66.67,121398.00,0.00,0.00
MANKIND PHARMA LTD,7964,th430,87.98,87.66,99.81,2.00,53.85,0.00,0.00,10.00
Avighna Medicare Private Limited,37111,th430,63.59,76.09,97.22,6.50,20.00,811.00,0.00,1.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th430,60.07,46.49,100.00,9.00,0.00,8140.00,0.00,0.00
SACHDEVA MEDICALS (U/O AHWSPL) (Prayagraj),30096,th430,58.83,66.67,100.00,1.00,50.00,18143.00,0.00,3.00
D C AGENCIES PRIVATE LIMITED,1989,th430,55.72,61.25,100.00,1.00,33.33,800163.00,0.00,87.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th430,54.25,53.50,25.53,8.00,0.00,0.00,0.00,1.00
E.C. Agencies - A unit of Ascent Wellness and Pharma Solutions Private Limited,29157,th430,53.15,39.13,100.00,3.00,0.00,9930.00,0.00,5.00
D.C. AGENCIES - INDORE ( A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PRIVATE LIMITED ),8164,th430,52.47,71.09,85.54,5.00,5.00,496.00,0.00,387.00
EASTERN AGENCIES HEALTHCARE PRIVATE LIMITED,61,th430,52.10,62.75,72.01,8.00,13.89,60135.00,0.00,18.00
ASHIRWAD DISTRIBUTORS (A UNIT OF AWPSPL),9981,th430,49.09,50.00,100.00,0.00,33.33,15486.00,0.00,0.00
Avighna Medicare Private Limited,82453,th430,48.04,58.82,91.84,3.00,25.00,0.00,0.00,3.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th430,43.43,60.73,35.45,13.90,11.63,120809.00,0.00,14.00
D. C. AGENCIES PRIVATE LIMITED (GHAZIPUR),13506,th430,42.15,30.43,100.00,1.00,25.00,10658.00,0.00,2.00
ARYAN Wellness (P) Ltd.,1144,th430,39.07,51.42,90.88,1.00,27.78,1235515.00,0.00,144.00
DESAI PHARMA(A UNIT OF ASCENT WELLNESS AND PHARMA SOLUTIONS PVT LTD),32262,th430,35.38,39.03,36.18,16.00,4.44,2758.00,0.00,12.00
RECKITT BENCKISER INDIA PRIVATE LIMITED,60660,th430,33.01,15.79,66.67,1.00,0.00,69938.00,0.00,0.00
JOHNS MEDICAL AGENCIES[SYSTOPIC],60653,th430,32.01,40.26,0.00,28.00,0.00,6474.00,0.00,0.00
ZYDUS HEALTHCARE LIMITED,38158,th430,27.57,42.15,98.59,4.00,8.33,10498.00,0.00,1.00
MANDOT ASSOCIATE,8728,th430,27.25,41.46,100.00,1.00,0.00,245044.00,0.00,0.00
Dr  Reddys Laboratories Limited,13463,th430,20.09,31.30,62.22,4.00,7.14,19809.00,0.00,0.00
AJANTA PHARMA LTD,2037,th430,15.36,38.98,95.65,1.00,0.00,0.00,0.00,0.00
USV PRIVATE LIMITED,9575,th430,10.24,40.21,100.00,1.00,8.33,264996.00,0.00,0.00
AJANTA PHARMA LIMITED,7688,th430,6.39,20.34,100.00,4.00,8.33,10940.00,0.00,0.00
IPCA LABORATORIES LIMITED,38105,th430,0.00,0.00,0.00,0.00,0.00,27475.00,0.00,0.00
MUTHU PHARMA PVT LTD (U/O AWPSPL) (MR-CHN-AIE),37916,th430,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIOLOGICAL E LTD.,9342,th430,0.00,0.00,0.00,0.00,0.00,3360.00,0.00,0.00
INDOCO REMEDIES LIMITED,60664,th430,0.00,0.00,0.00,0.00,0.00,6498.00,0.00,0.00
BIOCON BIOLOGICS LIMITED,12052,th430,0.00,0.00,0.00,0.00,0.00,9595.00,0.00,0.00
MUTHU PHARMA- A UNIT OF ASCENT WELLNESS AND PHARMA ,31881,th430,0.00,0.00,0.00,0.00,0.00,40378.00,0.00,4.00
